recipename,Total Fat,Saturated Fat,Cholesterol,Sodium,Potassium,Total Carbohydrates,Dietary Fiber,Protein,Sugars,Vitamin A,Vitamin C,Calcium,Iron,Thiamin,Niacin,Vitamin B6,Magnesium,Folate,Calories,Health Score,ratings,class_prob
chicken linguine a la me,0.626153846,1.25,0.526666667,0.46875,0.228857143,0.201,0.192,0.922,0.253968254,0.2386,1.083333333,0.146,0.222222222,0,0.95,0.5,0.1875,0.475,779,-11.58436973,4.172820866,0.999971989
chicken lo mein,0.226153846,0.1,0.203333333,0.782083333,0.131714286,0.262,0.18,0.76,0.317460317,0.048,0.116666667,0.057,0.277777778,0,0.9,0,0.2,0.47,599,-3.613164073,4.341990127,0.459891058
chicken makhani indian butter chicken,0.427692308,0.55,0.356666667,0.217916667,0.178571429,0.052,0.088,0.468,0.158730159,0.2388,0.2,0.135,0.166666667,0,0.45,0,0.1225,0.06,408,-4.771570444,4.565003894,0.851986444
chicken mango salsa salad with chipotle lime vinaigrette,0.343076923,0.2,0.046666667,0.045833333,0.141142857,0.083333333,0.16,0.152,0.571428571,1.0514,0.816666667,0.083,0.111111111,0,0.2,0,0.1375,0.2775,317,-2.527943965,4.386951977,0.998383944
chicken marsala,0.409230769,0.5,0.33,0.22625,0.117428571,0.044333333,0.02,0.576,0.095238095,0.0786,0.033333333,0.025,0.111111111,0,1,0.5,0.1,0.0575,448,-3.625825768,4.628805444,0.494884082
chicken marsala florentine,0.667692308,1.15,0.533333333,0.28875,0.317428571,0.082,0.124,0.64,0.317460317,0.3212,0.116666667,0.068,0.166666667,0,1.2,0.5,0.1875,0.1325,671,-10.61906852,4.590813802,0.999718571
chicken marsala over white rice,0.207692308,0.25,0.283333333,0.082083333,0.112857143,0.222333333,0.072,0.656,0.095238095,0.0426,0.016666667,0.045,0.277777778,0.666666667,1.1,0.5,0.1225,0.4275,562,-0.910716421,4.216958782,0.934490515
chicken marsala with portobello mushrooms,0.355384615,0.55,0.36,0.259166667,0.184285714,0.066333333,0.064,0.582,0.095238095,0.098,0,0.032,0.111111111,0,1.05,0.5,0.0975,0.1325,426,-4.196263907,4.40385847,0.797709355
chicken mexicala,0.276923077,0.4,0.273333333,0.315833333,0.120571429,0.109,0.16,0.612,0.158730159,0.0908,0.25,0.262,0.111111111,0,0.65,0,0.18,0.045,413,-2.989564371,4.292311409,0.885515907
chicken milanese,0.115384615,0.1,0.43,0.289166667,0.068571429,0.13,0.088,0.46,0.063492063,0.0378,0.016666667,0.079,0.222222222,0,0.7,0,0.0875,0.23,322,-1.080541064,3.904900288,0.577755417
chicken milano,0.535384615,0.85,0.52,0.20875,0.194571429,0.156666667,0.112,0.726,0.158730159,0.2232,0.083333333,0.076,0.166666667,0,1.1,0.5,0.1925,0.31,641,-7.152677949,4.504898758,0.65517261
chicken mole,0.532307692,0.5,0.483333333,0.127083333,0.208285714,0.084,0.132,0.974,0.571428571,0.2354,0.183333333,0.126,0.333333333,0,0.75,0.5,0.1875,0.055,610,-1.748784385,4.371752887,0.956093397
chicken monterey,0.324615385,0.6,0.39,0.202083333,0.098857143,0.053333333,0.036,0.652,0.031746032,0.1068,0.016666667,0.183,0.111111111,0,0.95,0.5,0.095,0.1125,399,-3.631652617,4.238492856,0.485678424
chicken mushroom dijon,0.456923077,0.5,0.353333333,0.340416667,0.162571429,0.065666667,0.04,0.662,0.063492063,0.1416,0.016666667,0.134,0.111111111,0,1,0.5,0.105,0.0825,486,-4.119383541,4.444486146,0.713508145
chicken n stuff,0.236923077,0.35,0.313333333,0.462916667,0.126571429,0.07,0.04,0.768,0.063492063,0.053,0.016666667,0.247,0.166666667,0,1.1,0.5,0.115,0.03,397,-2.160934307,3.993798203,0.750086073
chicken newburg,0.364615385,0.2,0.353333333,0.409583333,0.178857143,0.121666667,0.224,0.516,0.19047619,0.2292,0.783333333,0.126,0.166666667,0,0.8,0.5,0.1275,0.305,465,-2.912649229,4.112701665,0.845477213
chicken noodle casserole i,0.410769231,0.4,0.426666667,0.368333333,0.119714286,0.095,0.036,0.902,0.063492063,0.0806,0,0.186,0.222222222,0,1.1,0.5,0.1325,0.19,546,-2.162409361,4.606903875,0.663132554
chicken noodle salad with peanut ginger dressing,0.243076923,0.15,0.153333333,0.310416667,0.148285714,0.172,0.184,0.604,0.222222222,0.6872,0.383333333,0.052,0.166666667,0,0.8,0,0.21,0.395,461,-1.221684269,4.318212257,0.787922666
chicken nuggets,0.272307692,0.15,0.393333333,0.397083333,0.074857143,0.030666667,0.028,0.594,0,0.0158,0,0.055,0.111111111,0,0.9,0.5,0.1,0.0775,320,-0.983360371,4.408297708,0.989873355
chicken on a stick,0.150769231,0.1,0.226666667,0.28625,0.09,0.010333333,0,0.548,0.063492063,0.007,0.016666667,0.015,0.055555556,0,0.95,0.5,0.085,0.0125,218,0.54960184,4.012166986,0.999512929
chicken or turkey tetrazzini,0.483076923,0.7,0.373333333,0.659583333,0.104857143,0.127666667,0.06,0.712,0.095238095,0.0768,0.083333333,0.261,0.166666667,0.666666667,0.75,0,0.1075,0.2725,589,-8.111098217,4.432380234,0.612565731
chicken oreganato,0.34,0.25,0.263333333,0.03,0.056857143,0.003666667,0.02,0.328,0,0.0336,0.133333333,0.021,0.055555556,0,0.25,0,0.0525,0.02,269,-1.076609335,4.501849459,0.999847496
chicken papadoris,0.306153846,0.7,0.27,0.145,0.135428571,0.017,0.052,0.578,0.031746032,0.0864,0.066666667,0.033,0.166666667,0,0.95,0.5,0.175,0.045,311,-4.038230599,4.096340926,0.77526616
chicken paprika,0.150769231,0.2,0.14,0.130416667,0.062,0.026,0.048,0.26,0.031746032,0.2276,0.066666667,0.05,0.055555556,0,0.3,0,0.05,0.04,170,-1.059015888,4.093656522,0.936562702
chicken paprikash ii,0.612307692,0.8,0.52,0.31125,0.194285714,0.053333333,0.152,0.878,0.19047619,0.8918,0.25,0.143,0.333333333,0,0.9,0.5,0.13,0.0825,604,-5.719587584,4.52362099,0.84142361
chicken parmesan,0.383076923,0.45,0.623333333,0.35,0.111142857,0.082666667,0.024,0.842,0.063492063,0.1256,0.05,0.38,0.111111111,0,0.95,0.5,0.11,0.0775,471,-2.870165795,4.400931719,0.598098586
chicken parmesan bundles,0.270769231,0.45,0.416666667,0.314583333,0.148,0.053666667,0.12,0.612,0.19047619,1.1786,0.066666667,0.088,0.111111111,0,0.75,0.5,0.165,0.2075,347,-3.145481601,4.280715952,0.850145876
chicken parmesan casserole,0.169230769,0.2,0.156666667,0.37125,0.090857143,0.131333333,0.108,0.476,0.19047619,0.0936,0.116666667,0.196,0.166666667,0,0.55,0,0.105,0.22,359,-2.261679635,4.235275765,0.846178908
chicken pasta i,0.027692308,0.05,0.09,0.06875,0.062571429,0.087,0.084,0.314,0.095238095,0.058,0.116666667,0.044,0.111111111,0,0.45,0,0.08,0.175,185,0.858881627,4.297913299,0.714296467
chicken penne italiano,0.230769231,0.2,0.27,0.38625,0.202285714,0.188,0.192,0.786,0.285714286,0.1546,0.766666667,0.229,0.222222222,0,1.05,0.5,0.195,0.085,527,-1.252354648,4.471932395,0.682719692
chicken pepper steak,0.115384615,0.1,0.24,0.875416667,0.158857143,0.050333333,0.084,0.598,0.19047619,0.147,0.55,0.043,0.111111111,0,0.95,0.5,0.1325,0.07,248,-2.957850027,4.269965869,0.808956664
chicken pepperoncini,0.406153846,0.3,0.686666667,0.585833333,0.249142857,0.102666667,0.14,1.072,0.19047619,0.074,0.1,0.227,0.277777778,0,1.65,0.5,0.185,0.1975,599,-1.909121287,3.96757339,0.953909652
chicken perkelt,0.156923077,0.1,0.24,0.230833333,0.106,0.010333333,0.032,0.566,0.031746032,0.0512,0.05,0.03,0.055555556,0,0.95,0.5,0.1,0.0275,221,1.031794411,4.276393202,0.990110574
chicken pesto a la lisa,0.413846154,0.4,0.323333333,0.3125,0.190571429,0.212666667,0.168,0.99,0.126984127,0.135,0.083333333,0.381,0.222222222,0,1.25,0.5,0.27,0.0925,702,-2.076294467,4.36118407,0.513684046
chicken pesto paninis,0.452307692,0.55,0.203333333,0.448333333,0.099714286,0.203,0.176,0.648,0.063492063,0.121,0.3,0.528,0.277777778,0,0.65,0,0.1625,0.585,641,-6.108708647,4.186569918,0.890172974
chicken pesto pizza,0.336923077,0.35,0.203333333,0.319583333,0.043142857,0.126333333,0.116,0.594,0.063492063,0.0664,0.133333333,0.213,0.055555556,0,0.35,0,0.055,0.0175,457,-2.974632999,4.256310158,0.919008901
chicken pesto with fettuccine and spinach,0.596923077,0.5,0.373333333,0.424166667,0.239142857,0.18,0.24,1.1,0.095238095,1.0412,0.35,0.568,0.333333333,0,1.3,0.5,0.325,0.56,786,-3.187465456,3.857600135,0.98892973
chicken piccata ii,0.236923077,0.4,0.463333333,0.224583333,0.055142857,0.025333333,0.012,0.518,0.031746032,0.0944,0.083333333,0.023,0.055555556,0,0.6,0,0.0575,0.0625,276,-2.472555639,4.35844684,0.987233284
chicken pineapple fajitas,0.153846154,0.1,0.22,0.295416667,0.145142857,0.154333333,0.152,0.644,0.380952381,0.319,0.966666667,0.111,0.222222222,0,1.1,0.5,0.1325,0.23,410,-0.22825372,4.126335868,0.769737113
chicken pockets,0.613846154,0.8,0.336666667,0.356666667,0.045714286,0.098,0.012,0.478,0.158730159,0.1338,0,0.046,0.166666667,0,0.4,0,0.04,0.0175,583,-8.828007044,4.480795743,0.553501569
chicken pot pie i,0.170769231,0.15,0.11,0.26125,0.072,0.068333333,0.192,0.304,0,0.0154,0.066666667,0.035,0.111111111,0,0.4,0,0.075,0.095,245,-1.354889285,4.376977582,0.585970565
chicken provolone,0.266153846,0.4,0.333333333,0.635416667,0.111142857,0.166,0.156,0.786,0.126984127,0.0932,0.016666667,0.188,0.222222222,0,1,0.5,0.11,0.02,555,-4.406053216,4.480842327,0.835518731
chicken riggies ii,0.564615385,0.95,0.543333333,0.190416667,0.146571429,0.091,0.06,0.64,0.063492063,0.2702,0.183333333,0.075,0.111111111,0,1,0.5,0.14,0.1775,566,-7.951728976,4.159583985,0.803027208
chicken risotto,0.287692308,0.3,0.23,0.523333333,0.158,0.232333333,0.068,0.55,0.063492063,0.0562,0.116666667,0.13,0.333333333,0.666666667,0.65,0,0.12,0.485,567,-4.956430823,4.302120313,0.936948755
chicken rolls,0.589230769,0.85,0.26,0.579583333,0.160285714,0.157666667,0.068,0.498,0.222222222,0.1202,0,0.043,0.166666667,0,0.35,0,0.0625,0.0925,662,-10.81702898,3.772843242,0.579607134
chicken saagwala,0.116923077,0.1,0.2,0.0525,0.178,0.062333333,0.168,0.538,0.285714286,0.5274,0.283333333,0.176,0.111111111,0,0.6,0.5,0.155,0.1925,248,1.675934988,3.864959368,0.601635142
chicken salad balsamic,0.407692308,0.25,0.183333333,0.024166667,0.064857143,0.02,0.056,0.38,0.126984127,0.042,0.033333333,0.03,0.055555556,0,0.4,0,0.08,0.05,335,-1.057665627,4.194409168,0.989647956
chicken salad with bacon and red grapes,0.744615385,0.4,0.183333333,0.19,0.078571429,0.048333333,0.064,0.256,0.285714286,0.0512,0.1,0.024,0.055555556,0,0.3,0.5,0.0425,0.03,537,-5.644131589,4.108781823,0.780666118
chicken salad with grapes and apples,0.12,0.05,0.066666667,0.035833333,0.052,0.051,0.064,0.144,0.380952381,0.0174,0.116666667,0.015,0,0,0.15,0,0.0275,0.015,154,-0.205596379,4.297526427,0.968266082
chicken salad with peaches and walnuts,0.390769231,0.15,0.21,0.11375,0.152571429,0.061,0.12,0.454,0.380952381,0.4532,0.716666667,0.08,0.111111111,0,0.6,0.5,0.155,0.2875,398,-0.736501349,4.122826921,0.929407121
chicken salad with toasted almonds,0.487692308,0.25,0.286666667,0.328333333,0.111428571,0.072666667,0.104,0.546,0.53968254,0.0366,0.15,0.067,0.111111111,0,0.55,0,0.2025,0.0425,484,-3.016216475,4.239588031,0.937578604
chicken salad wraps,0.227692308,0.15,0.203333333,0.389166667,0.088285714,0.141666667,0.12,0.544,0.031746032,0.0634,0.05,0.114,0.222222222,0,0.6,0,0.085,0.2575,464,-1.751263025,4.10722964,0.91234822
chicken saltimbocca,0.48,0.85,0.483333333,0.292083333,0.087428571,0.008666667,0,0.734,0.031746032,0.148,0,0.237,0.055555556,0,0.9,0.5,0.0975,0.0175,487,-6.089567073,4.403634746,0.621806074
chicken sandwich casserole,0.598461538,0.5,0.596666667,0.357916667,0.102,0.09,0.048,0.64,0.19047619,0.1232,0.016666667,0.265,0.166666667,0,0.7,0,0.1025,0.17,589,-5.444806783,4.378090778,0.60657527
chicken sandwiches with zang,0.224615385,0.35,0.31,1.1575,0.182,0.154,0.188,0.738,0.380952381,0.14,0.516666667,0.412,0.222222222,0,1,0.5,0.1725,0.1825,465,-7.3084162,4.115500239,0.972998494
chicken satay,0.046153846,0.05,0.226666667,0.289166667,0.106857143,0.013666667,0.028,0.576,0.063492063,0.0088,0.1,0.024,0.055555556,0,0.95,0.5,0.1125,0.0275,162,1.503900123,4.210006525,0.994106547
chicken satay with peanut sauce,0.521538462,0.85,0.233333333,0.2625,0.152285714,0.040333333,0.108,0.634,0.19047619,0.009,0.033333333,0.047,0.222222222,0,1,0.5,0.24,0.08,466,-6.643456587,4.303849655,0.773708946
chicken sauerkraut potato bake,0.143076923,0.15,0.283333333,0.51875,0.187714286,0.047333333,0.2,0.578,0.063492063,0.026,0.466666667,0.089,0.222222222,0,0.75,0.5,0.1325,0.1125,257,-1.19123738,4.293956937,0.922584832
chicken sausage and zucchini pasta,0.361538462,0.4,0.233333333,0.427083333,0.278571429,0.247333333,0.292,0.63,0.444444444,0.1794,0.75,0.075,0.277777778,0.666666667,0.9,0.5,0.235,0.5025,631,-5.094115939,4.205887198,0.973274345
chicken savoy,0.467692308,0.4,0.596666667,0.1625,0.104285714,0.009666667,0.008,0.908,0.063492063,0.2142,0.016666667,0.115,0.166666667,0,1.05,0.5,0.1025,0.12,477,-0.546910363,4.547385965,0.61608081
chicken scallopini,0.418461538,0.75,0.426666667,0.368333333,0.141142857,0.116,0.1,0.696,0.095238095,0.1598,0.333333333,0.045,0.166666667,0,1.05,0.5,0.1125,0.1925,542,-6.544562757,4.4658011,0.772600801
chicken scampi i,0.069230769,0.1,0.24,0.135,0.095714286,0.014,0.012,0.536,0.031746032,0.018,0.1,0.069,0.111111111,0,0.85,0.5,0.075,0.0175,179,1.679240993,4.486037793,0.998037547
chicken shawarmas,0.458461538,0.35,0.306666667,0.24625,0.106857143,0.099,0.06,0.624,0.031746032,0.0612,0.033333333,0.066,0.111111111,0,1.05,0.5,0.12,0.15,516,-2.712035056,4.155814281,0.805387537
chicken sherry,0.675384615,0.45,0.326666667,0.455833333,0.068285714,0.055,0.1,0.642,0.126984127,0.145,0.133333333,0.128,0.166666667,0,0.7,0,0.07,0.02,596,-5.123760433,4.201336547,0.777966385
chicken shwarma,0.216923077,0.35,0.313333333,0.03,0.075714286,0.011333333,0.068,0.516,0,0.0676,0.066666667,0.045,0.055555556,0,0.8,0.5,0.0925,0.02,242,-0.396467588,3.924462324,0.99976712
chicken slop,0.355384615,0.3,0.293333333,0.847083333,0.109714286,0.136,0.076,0.682,0.095238095,0.089,0,0.081,0.222222222,0,1,0.5,0.12,0.12,515,-5.579534653,4.204868919,0.851716142
chicken sopa,0.572307692,0.65,0.543333333,0.5625,0.168571429,0.126,0.168,1.074,0.095238095,0.153,0.25,0.254,0.222222222,0,1.25,0.5,0.2375,0.05,705,-5.217329473,3.99821708,0.949121374
chicken souvlaki gyro style,0.623076923,0.75,0.443333333,1.320833333,0.208,0.186333333,0.152,0.888,0.380952381,0.454,0.35,0.566,0.222222222,0.666666667,1.15,0.5,0.2,0.36,764,-12.64967585,4.530867989,0.99999981
chicken souvlaki with tzatziki sauce,0.258461538,0.2,0.236666667,0.122916667,0.067428571,0.008666667,0.012,0.51,0.031746032,0.0094,0.05,0.021,0.055555556,0,0.75,0,0.0625,0.0175,268,0.134252995,4.665990732,0.9988331
chicken spaghetti ii,0.126153846,0.2,0.156666667,0.489166667,0.108857143,0.094,0.044,0.466,0.158730159,0.1374,0.05,0.31,0.111111111,0,0.45,0,0.0725,0.16,283,-2.612444479,4.228391852,0.805099401
chicken spaghetti iii,0.367692308,0.55,0.333333333,0.535833333,0.168571429,0.221666667,0.132,0.834,0.222222222,0.171,0.1,0.376,0.222222222,0.666666667,1.05,0,0.21,0.4975,655,-5.721576313,4.204495411,0.53835526
chicken spectacular,0.315384615,0.15,0.156666667,0.323333333,0.066285714,0.058,0.096,0.326,0.126984127,0.1324,0.2,0.036,0.055555556,0,0.5,0,0.0725,0.0425,317,-2.295543245,4.17175943,0.549050151
chicken spinach and cheese pasta bake,0.333846154,0.5,0.283333333,0.138333333,0.112857143,0.177333333,0.256,0.684,0.095238095,0.8004,0.216666667,0.241,0.111111111,0,0.35,0,0.1175,0.205,544,-2.950991585,4.142084789,0.929180943
chicken spinach casserole,0.146153846,0.2,0.106666667,0.429583333,0.166571429,0.148333333,0.228,0.288,0.158730159,1.735,0.066666667,0.242,0.166666667,0,0.2,0,0.16,0.2625,319,-3.581588967,4.058290027,0.56869654
chicken stuff,0.587692308,1.05,0.423333333,0.4175,0.110857143,0.111333333,0.048,0.502,0.095238095,0.1982,0.016666667,0.038,0.166666667,0,0.85,0.5,0.1175,0.2275,577,-11.19873478,4.35107267,0.642872826
chicken stuffed baked avocados,0.387692308,0.35,0.203333333,0.097083333,0.178,0.031333333,0.272,0.402,0.031746032,0.0924,0.183333333,0.087,0.055555556,0,0.5,0,0.1125,0.215,334,-1.886122879,4.097221368,0.898484526
chicken stuffing and green bean casserole,0.195384615,0.3,0.213333333,0.652916667,0.086,0.162666667,0.116,0.542,0.19047619,0.0922,0.016666667,0.216,0.222222222,0,0.75,0,0.1075,0.25,426,-4.849760836,4.154611035,0.960372344
chicken suiza cornbread bake,0.335384615,0.6,0.233333333,0.357083333,0.082571429,0.100333333,0.064,0.358,0.158730159,0.129,0.066666667,0.234,0.111111111,0,0.3,0,0.0725,0.14,378,-6.712659353,4.253967897,0.916725129
chicken supreme ii,0.258461538,0.35,0.32,0.28875,0.119428571,0.031,0.028,0.592,0.031746032,0.078,0.033333333,0.049,0.111111111,0,1,0.5,0.1025,0.025,317,-1.91838514,4.238171551,0.645594862
chicken surprise,0.030769231,0,0.22,0.2925,0.135428571,0.106,0.072,0.6,0.095238095,0.0292,0.116666667,0.052,0.222222222,0,1.1,0.5,0.125,0.245,272,1.321311104,4.105635022,0.905369252
chicken taco casserole,0.452307692,0.5,0.316666667,0.589166667,0.109428571,0.104,0.244,0.658,0.126984127,0.1736,0.066666667,0.327,0.111111111,0,0.5,0,0.17,0.12,508,-5.694248201,4.323521602,0.803491159
chicken tacos,0.318461538,0.5,0.25,0.18125,0.168857143,0.101,0.176,0.498,0.253968254,0.2558,0.3,0.302,0.111111111,0,0.6,0.5,0.18,0.1025,401,-3.808352071,4.545689399,0.909781715
chicken tagine,0.233846154,0.2,0.216666667,0.237916667,0.142857143,0.128333333,0.168,0.446,0.444444444,1.2988,0.133333333,0.05,0.111111111,0,0.5,0,0.1025,0.0725,380,-2.017795744,4.154917641,0.795525454
chicken tartar burger,0.164615385,0.1,0.236666667,0.232916667,0.110571429,0.116,0.1,0.63,0.063492063,0.1078,0.4,0.108,0.166666667,0,0.95,0.5,0.1075,0.1775,369,0.518033836,4.321500203,0.814583775
chicken teriyaki its a secret,0.706153846,0.35,0.413333333,1.305416667,0.160571429,0.018,0.016,0.888,0.031746032,0.0382,0.033333333,0.032,0.111111111,0,1.5,0.5,0.1775,0.0425,615,-7.873823316,4.333920791,0.999999773
chicken teriyaki with asparagus,0.166153846,0.3,0.31,0.910416667,0.138857143,0.042666667,0.056,0.736,0.285714286,0.1472,0.066666667,0.266,0.166666667,0,0.95,0.5,0.1925,0.1075,312,-4.311778403,4.055019287,0.668402274
chicken tetrazzini for a crowd,0.184615385,0.25,0.163333333,0.210833333,0.077714286,0.071333333,0.044,0.414,0.063492063,0.0734,0.083333333,0.14,0.111111111,0,0.5,0,0.075,0.1575,279,-1.604972492,4.236632033,0.56257963
chicken tetrazzini i,0.807692308,1.4,0.553333333,0.602916667,0.163142857,0.169,0.144,0.768,0.126984127,0.2918,0.016666667,0.181,0.222222222,0.666666667,1,0,0.1825,0.3325,826,-14.97826658,4.222878287,0.999992989
chicken texas style,0.747692308,1.2,0.573333333,0.64875,0.158857143,0.027,0.028,0.988,0.031746032,0.0832,0.2,0.021,0.055555556,0,1.1,0.5,0.115,0.0425,675,-10.84443725,4.056431687,0.999999914
chicken thigh and dumpling stew,0.487692308,0.6,0.393333333,0.615,0.136,0.111333333,0.088,0.578,0.222222222,0.9494,0.066666667,0.075,0.222222222,0,0.6,0,0.1025,0.13,533,-7.778266872,4.252583185,0.774912535
chicken thighs surprise,0.427692308,0.65,0.343333333,0.366666667,0.148,0.051666667,0.152,0.64,0.126984127,0.19,0.183333333,0.507,0.055555556,0,0.55,0,0.135,0.095,440,-5.306324367,4.542611265,0.826791137
chicken tinga tostados,0.416923077,0.4,0.36,0.185416667,0.194571429,0.096666667,0.168,0.76,0.222222222,0.2124,0.316666667,0.096,0.111111111,0,1.1,0.5,0.135,0.1,514,-1.813958645,4.348147548,0.832736759
chicken tortilla casserole,0.310769231,0.45,0.22,0.45125,0.124285714,0.083333333,0.12,0.436,0.158730159,0.1286,0.033333333,0.297,0.111111111,0,0.4,0,0.1325,0.04,365,-5.200602768,3.994270347,0.903688233
chicken tortilla soup,0.067692308,0.1,0.22,0.52875,0.074571429,0.04,0.048,0.492,0.095238095,0.0766,0.1,0.066,0.055555556,0,0.55,0,0.0725,0.035,195,-1.193751841,4.515613639,0.890967072
chicken unitarian,0.281538462,0.15,0.39,0.792916667,0.114857143,0.025333333,0.016,0.924,0.126984127,0.0072,0,0.036,0.111111111,0,1.15,0.5,0.1425,0.025,421,-1.463340203,4.10981724,0.769821598
chicken valdostano,0.364615385,0.65,0.423333333,0.294166667,0.085428571,0.016,0.02,0.69,0.031746032,0.1336,0.05,0.176,0.055555556,0,0.7,0,0.0775,0.0425,396,-4.247251501,4.445288481,0.753596528
chicken verde sandwiches,0.372307692,0.65,0.43,0.384166667,0.094857143,0.102666667,0.068,0.852,0.126984127,0.1674,0.1,0.326,0.166666667,0,0.95,0,0.12,0.1275,523,-4.611548212,4.155814281,0.753057561
chicken wellington casserole,0.521538462,0.8,0.406666667,0.335833333,0.096285714,0.083,0.02,0.634,0.158730159,0.1488,0.016666667,0.052,0.166666667,0,0.85,0.5,0.07,0.0375,541,-7.355443411,4.290803111,0.52542105
chicken with 40 cloves of garlic,0.735384615,0.75,0.78,0.349166667,0.211714286,0.036,0.032,1.418,0,0.0854,0.216666667,0.096,0.222222222,0,1.1,0.5,0.165,0.0425,769,-2.819009052,4.36331309,0.999999994
chicken with barley soup,0.241538462,0.2,0.283333333,0.293333333,0.143428571,0.083333333,0.236,0.55,0.126984127,1.1226,0.133333333,0.063,0.166666667,0,0.6,0,0.1625,0.0825,352,-1.078278821,4.221332775,0.916849615
chicken with bouillon,0.186153846,0.1,0.226666667,0.10375,0.087714286,0.000666667,0,0.548,0,0.099,0.016666667,0.017,0.055555556,0,0.95,0.5,0.085,0.0125,225,1.67503588,4.405929552,0.999916401
chicken with cashews,0.649230769,0.55,0.303333333,0.104583333,0.160857143,0.038666667,0.092,0.618,0.126984127,0.2676,1.083333333,0.037,0.111111111,0,1,0.5,0.22,0.1,544,-3.712536588,4.099570003,0.672572072
chicken with couscous,0.176923077,0.1,0.25,0.07375,0.154285714,0.135333333,0.168,0.716,0.095238095,0.5748,0.283333333,0.051,0.111111111,0,1,0.5,0.1525,0.1075,415,1.853278876,4.343709159,0.834157076
chicken with garlic basil and parsley,0.047692308,0.05,0.223333333,0.147916667,0.115714286,0.013666667,0.052,0.512,0.063492063,0.1576,0.15,0.046,0.111111111,0,0.8,0.5,0.08,0.0325,150,2.005615045,4.653639491,0.990558466
chicken with lemon caper sauce,0.6,0.85,0.533333333,0.155,0.159428571,0.097333333,0.076,0.866,0.031746032,0.1534,0.45,0.047,0.166666667,0,1.45,0.5,0.1625,0.18,662,-5.621743392,4.451226344,0.960210978
chicken with mushrooms,0.304615385,0.5,0.68,0.461666667,0.145428571,0.079333333,0.08,0.882,0.095238095,0.1156,0.033333333,0.416,0.166666667,0,1.15,0.5,0.135,0.1575,454,-3.435977661,4.425305769,0.546600761
chicken with mushrooms prosciutto and cream sauce,0.473846154,0.65,0.396666667,0.16625,0.084,0.011,0.008,0.414,0,0.1006,0.066666667,0.062,0.055555556,0,0.3,0,0.065,0.0325,383,-5.470107628,4.234836198,0.987888041
chicken with mustard sauce,0.466153846,0.9,0.5,0.35375,0.128,0.069666667,0.104,0.602,0.095238095,0.2272,0.4,0.065,0.111111111,0,1,0.5,0.13,0.08,506,-8.130797303,3.9954783,0.6347332
chicken with pear sauce,0.216923077,0.15,0.246666667,0.254166667,0.094285714,0.057666667,0.112,0.554,0.253968254,0.0206,0.083333333,0.025,0.055555556,0,0.65,0,0.075,0.0325,308,-0.310383395,4.176105979,0.803819276
chicken with pepper cheese sauce,0.26,0.35,0.203333333,0.075416667,0.124,0.171666667,0.12,0.564,0.158730159,0.2156,0.483333333,0.216,0.166666667,0,0.75,0.5,0.15,0.365,468,-1.873810661,4.024083175,0.952073305
chicken with quinoa and veggies,0.366153846,0.35,0.203333333,0.350416667,0.099142857,0.117666667,0.192,0.476,0.126984127,0.11,0.25,0.174,0.055555556,0,0.5,0.5,0.075,0.0725,453,-3.855751133,4.548247614,0.959672227
chicken with red grapes and mushrooms,0.406153846,0.75,0.44,0.242083333,0.13,0.032,0.036,0.47,0.19047619,0.184,0.1,0.069,0.111111111,0,0.8,0.5,0.1025,0.03,402,-6.545366087,4.467124732,0.611046422
chicken with rice arroz con pollo,0.624615385,0.4,0.35,0.8025,0.232,0.217333333,0.216,0.6,0.222222222,0.2374,0.916666667,0.121,0.388888889,0.666666667,0.65,0.5,0.19,0.51,745,-8.287832312,4.234834957,0.977311562
chicken with roasted red peppers,0.635384615,0.45,0.283333333,1.07625,0.080571429,0.063333333,0.028,0.664,0.412698413,0.9706,1.033333333,0.251,0.111111111,0,0.85,0.5,0.0825,0.015,579,-8.948951728,3.962622827,0.993826886
chicken wonton tacos,0.149230769,0.1,0.146666667,0.314583333,0.100285714,0.070333333,0.1,0.354,0.222222222,0.968,0.366666667,0.049,0.111111111,0,0.55,0,0.08,0.115,244,-1.226076673,4.282206423,0.667803573
chicken zoodle soup,0.146153846,0.1,0.16,0.107083333,0.121428571,0.029666667,0.084,0.432,0.158730159,0.7356,0.25,0.047,0.055555556,0,0.4,0,0.0775,0.09,208,0.903935239,4.318098281,0.772971894
chickpea curry,0.069230769,0.05,0,0.120416667,0.062,0.068333333,0.184,0.082,0.031746032,0.1012,0.116666667,0.051,0.111111111,0,0.05,0,0.07,0.14,135,-0.562706089,4.408367084,0.999955885
chile garlic bbq salmon,0.38,0.25,0.446666667,0.3075,0.254857143,0.017666667,0.028,0.924,0.095238095,0.0388,0.266666667,0.042,0.055555556,0.666666667,1.3,0.5,0.1775,0.165,438,0.353385056,4.561330389,0.873960577
chile garlic shrimp,0.236923077,0.45,0.703333333,0.379583333,0.054857143,0.033,0.016,0.376,0.126984127,0.1838,0.083333333,0.043,0.166666667,0,0.35,0,0.08,0.0175,256,-5.137379877,4.34128073,0.947888924
chile rellenos pie,0.295384615,0.4,0.473333333,0.227083333,0.056857143,0.060666667,0.076,0.224,0.095238095,0.2186,0.666666667,0.049,0.111111111,0,0.15,0,0.0425,0.13,289,-4.780078301,3.936345965,0.590099049
