recipename,labels,Total Fat,Saturated Fat,Cholesterol,Sodium,Potassium,Total Carbohydrates,Dietary Fiber,Protein,Sugars,Vitamin A,Vitamin C,Calcium,Iron,Thiamin,Niacin,Vitamin B6,Magnesium,Folate,Calories,Health Score,ratings,class_prob,Carb_std,Protein_std,VitA_std,VitC_std,Calcium_std,Iron_std,Thiamin_std,Niacin_std,VitB6_std,Magnesium_std,Folate_std,Potassium_std,Dietary Fiber_std,Total Fat_std,Saturated Fat_std,Cholesterol_std,Sodium_std,Sugars_std,Carb_BNI,Protein_BNI,VitA_BNI,VitC_BNI,Calcium_BNI,Iron_BNI,Thiamin_BNI,Niacin_BNI,VitB6_BNI,Magnesium_BNI,Folate_BNI,Potassium_BNI,Dietary Fiber_BNI,Total Fat_BNI,Saturated Fat_BNI,Cholesterol_BNI,Sodium_BNI,Sugars_BNI,BNI
chicken zoodle soup,1,9.49999999,2,48,256.9999992,424.9999985,8.9000001,2.1,43.2,5.000000009,5884.8,15,61.1,1.500000012,0,8,0,31,72,208,0.903935239,4.318098281,0.772971894,98.41346264,477.6923077,65072.30769,165.8653846,675.625,16.58653859,0,88.46153846,0,342.7884615,796.1538462,4699.519214,23.22115385,105.0480768,22.11538462,530.7692308,2841.826914,55.28846163,1.640224377,10,5,5,2.598557692,3.071581221,0,5,0,4.284855769,4.975961538,5,4.644230769,0,0,0,0,0,51.21541137
chickpea curry,4,4.499999985,1,0,289.0000008,217,20.4999999,4.6,8.2,1.000000008,809.6,7.00000002,66.3,2.999999997,0,1,0,28,112,135,-0.562706089,4.408367084,0.999955885,349.2592576,139.7037037,13793.18519,119.2592596,1129.555556,51.11111106,0,17.03703704,0,477.037037,1908.148148,3697.037037,78.37037037,76.66666641,17.03703704,0,4923.703717,17.03703717,10,10,5,5,4.344444444,5,0,4.259259259,0,5,5,5,5,0,0.740740741,5,0,2.295708385,66.64015283
chile garlic bbq salmon,4,24.7,5,134.0000001,738,892.0000005,5.3000001,0.7,92.4,2.999999993,310.4,16.00000002,54.6,1.500000012,1.133333334,26,1.25,71,132,438,0.353385056,4.561330389,0.873960577,27.83105075,485.2054795,1629.954338,84.01826495,286.7123288,7.876712392,5.951293762,136.5296804,6.563926941,372.8310502,693.1506849,4684.018267,3.675799087,129.7031963,26.25570776,703.6529686,3875.342466,15.75342462,0.463850846,10,1.018721461,5,1.102739726,1.458650443,5,5,5,4.660388128,4.332191781,5,0.735159817,0,0,0,0,2.49945641,51.27115861
chile garlic shrimp,5,15.40000001,9,210.9999999,910.9999992,192.0000005,9.9,0.4,37.6,4.000000001,1470.4,4.99999998,55.9,4.500000009,0,7,0,32,14,256,-5.137379877,4.34128073,0.947888924,88.9453125,337.8125,13210.625,44.92187482,502.2265625,40.42968758,0,62.890625,0,287.5,125.78125,1725.000004,3.59375,138.359375,80.859375,1895.703124,8184.765618,35.9375,1.482421875,10,5,3.743489568,1.931640625,5,0,5,0,3.59375,0.786132813,2.464285721,0.71875,0,0,0,0,0,39.7204706
chile rellenos pie,4,19.19999998,8,141.9999999,544.9999992,199.0000005,18.2000001,1.9,22.4,2.999999993,1748.8,40.00000002,63.7,2.999999997,0,3,0,17,104,289,-4.780078301,3.936345965,0.590099049,144.8442915,178.2698962,13917.78547,318.3391005,506.9550173,23.8754325,0,23.87543253,0,135.2941176,827.6816609,1583.737028,15.12110727,152.802768,63.66782007,1130.103805,4337.370236,23.87543247,2.414071524,10,5,5,1.94982699,4.421376389,0,5,0,1.691176471,5,2.262481469,3.024221453,0,0,0,0,1.210248815,46.97340311
chile verde ii,4,23.79999999,8,81,325.0000008,808.9999995,7.8,2.5,55,4.000000001,608,49.00000002,62.4,7.500000006,0,8,0,26,38,357,-1.901833213,4.438320984,0.845152711,50.25210084,354.3417367,3917.086835,315.6862746,402.0168067,48.31932777,0,51.54061625,0,167.5070028,244.8179272,5212.044815,16.10644258,153.3333333,51.54061625,521.8487395,2093.83754,25.77030813,0.837535014,10,2.448179272,5,1.546218487,5,0,5,0,2.093837535,1.530112045,5,3.221288515,0,0,0,0.637838458,0.909474901,43.22448423
chilean empanada,4,27.89999999,8,113.0000001,652.9999992,338.0000015,54.2000001,2.6,32.2,9.999999986,388.8,1.99999998,96.2,5.999999994,1.133333334,8,0,30,222,530,-6.026554535,4.315635478,0.973533837,235.2075476,139.7358491,1687.245283,8.679245196,417.4716981,26.03773582,4.918238996,34.71698113,0,130.1886792,963.3962264,1466.792459,11.28301887,121.0754716,34.71698113,490.3773589,2833.773581,43.39622635,3.920125793,10,1.054528302,0.723270433,1.605660377,4.82180293,5,5,0,1.627358491,5,2.095417799,2.256603774,0,0,0,0,0,43.1047679
chilean potato pie pastel de papas,4,25.20000002,7,90.9999999,100.0000008,693,21.6999999,3.2,28.2,2.999999993,812.8,27,45.5,2.999999997,0,6,0,40,72,366,-3.026553175,3.877783075,0.915950127,136.3661196,177.2131148,5107.759563,169.6721311,285.9289617,18.852459,0,37.70491803,0,251.3661202,452.4590164,4354.918033,20.10928962,158.3606559,43.98907104,571.8579229,628.4153056,18.85245897,2.27276866,10,3.192349727,5,1.099726776,3.491196111,0,5,0,3.142076503,2.827868852,5,4.021857923,0,0,0,3.690801447,2.007546195,50.74619219
chiles rellenos pie,4,30.49999999,18,165.9999999,814.0000008,599.9999985,15.0999999,3.1,57.8,6.999999993,2004.8,49.00000002,739.7,2.999999997,0,9,0,54,104,445,-8.119523461,4.270326334,0.525056398,78.0449433,298.741573,10361.88764,253.2584271,3823.168539,15.50561796,0,46.51685393,0,279.1011236,537.5280899,3101.123588,16.02247191,157.6404494,93.03370787,857.9775276,4207.191015,36.17977524,1.300749055,10,5,5,5,2.871410734,0,5,0,3.488764045,3.359550562,4.430176554,3.204494382,0,0,0,0,0,48.65514533
chiles rellenos stuffed peppers,4,70.59999999,14,195,270,464.0000015,19.7000001,2.8,50.8,4.000000001,1174.4,43.99999998,343.2,4.500000009,0,9,0,38,150,808,-7.854044317,4.222765528,0.99970939,56.07673296,144.6039604,3342.970297,125.2475247,976.9306931,12.80940597,0,25.61881188,0,108.1683168,426.980198,1320.792083,7.97029703,200.9653465,39.85148515,555.0742574,768.5643564,11.38613862,0.934612216,10,2.089356436,5,3.757425743,2.372112216,0,5,0,1.35210396,2.668626238,1.886845834,1.594059406,0,0,0,3.398824257,3.19267641,43.24664272
chili and cheese stuffed chicken breasts,4,8.900000005,5,119.0000001,243,451.0000005,17.7,1.4,71.8,1.999999985,860.8,34.99999998,213.2,4.500000009,0,22,1.25,63,108,297,0.956310379,3.900314318,0.686206943,137.0707071,556.026936,6666.127946,271.0437709,1651.043771,34.84848492,0,170.3703704,9.68013468,487.8787879,836.3636364,3492.592596,10.84175084,68.92255896,38.72053872,921.5488223,1881.818182,15.48821537,2.284511785,10,4.166329966,5,5,5,0,5,5,5,5,4.989417995,2.168350168,0,0,0,1.079545455,2.541553116,62.22970848
chili burgers,4,15.40000001,6,63,436.9999992,276.9999995,3.6999999,0.2,36.6,1.000000008,9.6,1.99999998,16.9,2.999999997,0,7,0,16,14,230,-1.891332756,4.121174387,0.994171544,36.999999,366,96,19.9999998,169,29.99999997,0,70,0,160,140,2769.999995,2,154.0000001,60,630,4369.999992,10.00000008,0.61666665,10,0.06,1.66666665,0.65,5,0,5,0,2,0.875,3.95714285,0.4,0,0,0,0,3.4126984,33.63817455
chili cheese dog pot pie,4,54.00000001,25,120,2743.999999,927.0000005,61.5,9.5,71.6,4.000000001,1993.6,3,773.5,15.00000001,0,11,0,108,114,861,-17.19170033,4.300123521,1,164.2857143,191.2659698,5325.528455,8.013937282,2066.260163,40.06968644,0,29.3844367,0,288.5017422,304.5296167,2476.306622,25.37746806,144.2508711,66.78281069,320.5574913,7330.081299,10.68524971,2.738095238,10,3.328455285,0.667828107,5,5,0,5,0,3.606271777,1.903310105,3.537580888,5,0,0,0,0,3.303928617,49.08547002
chili cumin stuffed chicken breasts,4,8.30000002,4,78.9999999,259.0000008,245.999999,2.1,0.7,55.2,1.000000008,1515.2,22.00000002,191.1,1.500000012,0,12,0,28,26,199,0.960873928,4.16140025,0.998785045,24.27135678,637.9899497,17512.36181,254.271357,2208.693467,17.33668356,0,138.6934673,0,323.6180905,300.5025126,2843.216069,8.090452261,95.92964847,46.23115578,913.0653255,2993.467346,11.55778904,0.404522613,10,5,5,5,3.210496955,0,5,0,4.045226131,1.878140704,4.061737241,1.618090452,0,0,0,0,3.165430312,48.38364441
chili dog casserole i,4,41.40000001,19,93.9999999,1570.999999,431.9999985,33.6999999,3.8,52.4,5.000000009,843.2,1.00000002,453.7,8.999999991,0,5,0,64,150,608,-11.59797282,4.494198428,0.62443257,127.4835523,198.2236842,3189.736842,3.782894812,1716.299342,34.0460526,0,18.91447368,0,242.1052632,567.4342105,1634.210521,14.375,156.6118421,71.875,355.5921049,5942.927629,18.91447372,2.124725871,10,1.993585526,0.315241234,5,5,0,4.728618421,0,3.026315789,3.546463816,2.334586458,2.875,0,0,0,0,1.997702585,42.9422397
chili dog casserole ii,4,28.8,13,62.0000001,1323,462.999999,39.3999999,5.3,39.4,2.999999993,812.8,1.00000002,293.8,7.500000006,0,7,0,63,172,491,-8.469576341,4.400466348,0.916529838,184.5621177,184.5621181,3807.413442,4.684317813,1376.252546,35.13238292,0,32.79022403,0,295.1120163,805.7026477,2168.839099,24.82688391,134.9083503,60.89613035,290.427699,6197.352342,14.05295312,3.076035294,10,2.379633401,0.390359818,5,5,0,5,0,3.688900204,5,3.09834157,4.965376782,0,0,0.159538349,0,2.76937252,50.36801959
chili dogs with cheese,4,18.90000002,7,39,999,115.0000005,27.6,1.7,28.8,5.000000009,70.4,0,124.8,2.999999997,0,5,0,17,102,340,-5.039871211,4.211324865,0.506223911,186.7058824,194.8235294,476.2352941,0,844.2352941,20.29411763,0,33.82352941,0,115,690,777.9411799,11.5,127.8529413,47.35294118,263.8235294,6757.941176,33.82352947,3.111764706,10,0.297647059,0,3.247058824,3.758169931,0,5,0,1.4375,4.3125,1.111344543,2.3,0,0,0.602941176,0,0,34.57598506
chili verde,4,23.20000001,8,81,619.0000008,675.9999995,21.9,4.1,49.2,2.999999993,232,16.00000002,70.2,4.500000009,1.133333334,10,1.25,61,138,400,-3.287074687,4.110465693,0.905677739,125.925,282.9,1334,92.00000012,403.65,25.87500005,6.51666667,57.5,7.1875,350.75,793.5,3886.999997,23.575,133.4,46,465.75,3559.250005,17.24999996,2.09875,10,0.83375,5,1.5525,4.791666676,5,5,5,4.384375,4.959375,5,4.715,0,0,0,0,2.261904769,60.59732145
chili with pulled beef pork for a crowd,8,26.50000002,9,72,624,892.9999995,30.0999999,9,50.8,2.999999993,4201.6,16.00000002,170.3,8.999999991,0,9,1.25,77,162,448,-3.732241543,3.864959368,0.595875412,154.5312495,260.8035714,21570.71429,82.14285725,874.3080357,46.2053571,0,46.20535714,6.417410714,395.3125,831.6964286,4584.598212,46.20535714,136.0491072,46.20535714,369.6428571,3203.571429,15.40178568,2.575520825,10,5,5,3.362723214,5,0,5,5,4.94140625,5,5,5,0,0,0,0,2.555272115,63.4349224
chiliville chili,4,19.80000003,7,63,1152,548.0000015,27.3999999,8.2,45.6,9.000000009,2948.8,16.00000002,137.8,8.999999991,0,4,0,22,28,382,-4.264354135,4.577668877,0.865209031,164.9738214,274.5549738,17754.55497,96.33507865,829.6858639,54.18848162,0,24.08376963,0,132.460733,168.5863874,3299.476449,49.37172775,119.2146598,42.14659686,379.3193717,6936.125654,54.18848173,2.74956369,10,5,5,3.191099476,5,0,5,0,1.655759162,1.053664921,4.713537784,5,0,0,0,0,0,48.36362503
chimichurri baked chicken,6,15.00000002,3,96,294,373.0000015,3.6,0.7,65,1.000000008,844.8,10.00000002,48.1,2.999999997,0,16,1.25,34,38,287,1.412774639,3.845007017,0.991102161,28.85017422,520.9059233,6770.174216,80.13937298,385.4703833,24.04181182,0,128.2229965,10.0174216,272.4738676,304.5296167,2989.198618,5.609756098,120.2090594,24.04181185,769.3379791,2356.097561,8.013937346,0.480836237,10,4.231358885,5,1.482578397,4.452187375,0,5,5,3.405923345,1.903310105,4.27028374,1.12195122,0,0,0,0.091463415,3.727946453,50.16783917
china lake barbequed steak,4,13.90000001,3,24.9999999,1230,241.9999995,4.1000001,1.1,30.8,1.000000008,8,13.99999998,32.5,1.500000012,0,6,0,23,18,199,-2.718228547,4.359220405,0.974301458,47.38693583,355.9798995,92.46231156,161.809045,375.6281407,17.33668356,0,69.34673367,0,265.8291457,208.040201,2796.984919,12.71356784,160.6532664,34.67336683,288.9447225,14216.0804,11.55778904,0.789782264,10,0.057788945,5,1.444723618,3.210496955,0,5,0,3.322864322,1.300251256,3.995692741,2.542713568,0,0,0.184254626,0,3.165430312,39.82974398
chinese almond chicken stir fry,4,19.7,3,17.0000001,799.9999992,465.9999995,11.9000001,3.7,25.2,4.000000001,1481.6,13.00000002,118.3,2.999999997,0,7,0,74,82,265,-2.407974009,4.129133418,0.62502499,103.2830197,218.7169811,12859.16981,112.8301889,1026.754717,26.03773582,0,60.75471698,0,642.2641509,711.6981132,4044.528298,32.11320755,170.981132,26.03773585,147.5471707,6943.396219,34.71698114,1.721383662,10,5,5,3.949056604,4.82180293,0,5,0,5,4.448113208,5,5,0,0,2.540880489,0,0,54.9403564
chinese five spice spare ribs,4,62.6,22,240,1087.999999,682.9999995,11.4,0.2,117.4,9.000000009,33.6,0,143,7.500000006,1.133333334,24,1.25,56,22,855,-9.011388063,4.137110005,1,30.66666667,315.8128655,90.38596491,0,384.6783626,20.17543861,3.048732945,64.56140351,3.362573099,150.6432749,59.18128655,1837.30994,0.538011696,168.3976608,59.18128655,645.6140351,2926.783624,24.21052634,0.511111111,10,0.056491228,0,1.479532164,3.736192336,5,5,5,1.883040936,0.369883041,2.624728486,0.107602339,0,0,0,0,1.157059311,36.92564095
chinese garlic chicken,4,10.50000003,2,87.9999999,1405.999999,286.000001,7.8,0.5,69.8,0,38.4,4.00000002,53.3,2.999999997,0,17,1.25,35,24,277,-0.533947857,4.155876399,0.998055553,64.76534296,579.566787,318.8447653,33.21299656,442.5631769,24.90974727,0,141.1552347,10.37906137,290.6137184,199.2779783,2374.72925,4.151624549,87.18411577,16.60649819,730.6859197,11674.36822,0,1.079422383,10,0.199277978,2.767749713,1.702166065,4.612916161,0,5,5,3.63267148,1.245487365,3.392470357,0.83032491,0,0.848375451,0,0,5,45.31086186
chinese mabo tofu,4,17.40000002,5,36.9999999,1636.999999,395.9999995,8.3000001,1.5,44.6,4.000000001,184,3,325,4.500000009,0,7,0,63,68,267,-4.15147074,4.204023941,0.773604465,71.4981282,384.1947566,1585.018727,25.84269663,2799.625468,38.76404502,0,60.29962547,0,542.6966292,585.7677903,3411.235951,12.92134831,149.8876406,43.07116105,318.7265909,14101.49812,34.45692884,1.19163547,10,0.990636704,2.153558052,5,5,0,5,0,5,3.661048689,4.873194215,2.584269663,0,0,0,0,0,45.45434279
chinese pepper round steak,4,7.600000005,2,56.0000001,883.9999992,531.000001,19.2,1.4,48.4,5.000000009,691.2,67.99999998,27.3,4.500000009,0,10,1.25,37,76,244,-0.642129265,4.097386287,0.741968753,180.9836066,456.2295082,6515.409836,640.9836064,257.3360656,42.41803287,0,94.26229508,11.78278689,348.7704918,716.3934426,5005.327878,13.19672131,71.63934431,18.85245902,527.8688534,8332.786878,47.13114762,3.016393443,10,4.072131148,5,0.989754098,5,0,5,5,4.359631148,4.477459016,5,2.639344262,0,0.286885246,0,0,0,54.84159836
chinese pepper steak,4,15.40000001,3,69,972,647.0000005,17.0000001,1.7,52.2,9.999999986,784,31.99999998,32.5,5.999999994,0,10,1.25,45,52,312,-1.574913407,4.338291438,0.922456259,125.3205136,384.8076923,5779.487179,235.8974357,239.5833333,44.23076919,0,73.71794872,9.21474359,331.7307692,383.3333333,4769.551286,12.53205128,113.5256411,22.11538462,508.6538462,7165.384615,73.71794861,2.088675226,10,3.612179487,5,0.921474359,5,0,5,5,4.146634615,2.395833333,5,2.506410256,0,0,0,0,0,50.67120728
chinese pie,4,13.10000003,4,51.9999999,928.0000008,864.9999995,57.2000001,4.7,40.6,9.000000009,232,19.00000002,68.9,2.999999997,0,10,1.25,68,192,412,-3.420724853,4.055455612,0.586831966,319.3203889,226.6504854,1295.145631,106.0679613,384.6359223,16.7475728,0,55.82524272,6.97815534,379.6116505,1071.84466,4828.883492,26.23786408,73.13106813,22.33009709,290.2912616,5180.582529,50.2427185,10,10,0.809466019,5,1.479368932,3.10140237,0,5,5,4.745145631,5,5,5,0,0,0.161812307,0,0,60.13538295
chinese pork chops,9,6.300000005,2,48,1234.999999,310.0000015,11.1999999,0.2,39.2,9.000000009,1.6,1.99999998,20.8,1.500000012,1.133333334,10,1.25,28,8,182,-1.936839543,4.575709067,0.88568085,141.5384603,495.3846154,20.21978022,25.27472502,262.8571429,18.95604411,14.32234433,126.3736264,15.7967033,353.8461538,101.0989011,3917.582437,2.527472527,79.61538468,25.27472527,606.5934066,15607.14285,113.7362639,2.358974338,10,0.012637363,2.106227085,1.010989011,3.510378538,5,5,5,4.423076923,0.631868132,5,0.505494505,0,0,0,0,0,44.5596459
chinese pork tenderloin,9,5.500000025,2,98.0000001,373.0000008,594.000001,5.0000001,0.3,71.6,2.999999993,3.2,0,19.5,2.999999997,1.133333334,16,1.25,43,6,222,2.426333081,4.120758387,0.996441451,51.80180284,741.8018018,33.15315315,0,202.027027,31.08108105,11.74174175,165.7657658,12.95045045,445.4954955,62.16216216,6154.054064,3.108108108,56.98198224,20.72072072,1015.315316,3864.414423,31.081081,0.863363381,10,0.020720721,0,0.777027027,5,5,5,5,5,0.388513514,5,0.621621622,0.616770597,0,0,0,0.066495079,43.35451194
chinese restaurant style sesame chicken,4,8.19999999,1,99,619.0000008,790.000001,24.3,2.8,87.6,9.000000009,3641.6,16.99999998,180.7,5.999999994,0,30,1.25,100,118,352,2.486368057,4.117261668,0.708763145,158.7784091,572.3863636,23794.54545,111.0795453,1180.710227,39.20454542,0,196.0227273,8.167613636,653.4090909,771.0227273,5161.931825,18.29545455,53.57954539,6.534090909,646.875,4044.602278,58.80681824,2.646306818,10,5,5,4.541193182,5,0,5,5,5,4.818892045,5,3.659090909,0.878496509,3.366477273,0,0,0,64.91045674
chinese roast pork,9,21.70000001,8,81.9999999,1309.999999,352.0000015,15.0999999,0.2,44.6,10.99999999,12.8,1.00000002,48.1,2.999999997,0,9,0,27,14,351,-5.462894841,4.566402983,0.8175409,98.94586829,292.2507123,83.87464387,6.552706684,315.1851852,19.65811964,0,58.97435897,0,176.9230769,91.73789174,2306.552716,1.310541311,142.1937323,52.42165242,537.3219367,8584.045579,72.07977204,1.649097805,10,0.052421652,0.54605889,1.212250712,3.640392526,0,5,0,2.211538462,0.573361823,3.295075309,0.262108262,0,0,0,0,0,28.44230544
chinese spareribs,4,30.89999998,11,120.9999999,1015.000001,406.999999,23.0000001,0.8,60.8,17.00000001,131.2,3,80.6,4.500000009,0,12,0,35,24,503,-5.985595832,4.498136171,0.69224719,105.1689865,278.0119284,599.9204771,13.71769384,368.5487078,20.5765408,0,54.87077535,0,160.0397614,109.7415507,1861.033793,3.65805169,141.2922464,50.29821074,553.2803176,4641.153085,77.73359846,1.752816442,10,0.374950298,1.143141153,1.41749503,3.810470518,0,5,0,2.000497018,0.685884692,2.658619704,0.731610338,0,0,0,0,0,29.57548519
chinese steamed buns with meat filling,2,1.80000002,0,14.0000001,132,49,0.8000001,0,6,1.000000008,25.6,0,7.8,0,0,1,0,5,2,33,0.543088984,4.164589803,0.99998987,55.75758273,418.1818182,1784.242424,0,543.6363636,0,0,69.6969697,0,348.4848485,139.3939394,3415.151515,0,125.4545468,0,975.7575827,9200,69.69697025,0.929293045,10,1.115151515,0,2.090909091,0,0,5,0,4.356060606,0.871212121,4.878787879,0,0,5,0,0,0,34.24141426
chinese style cheeseburgers,4,25.60000001,12,81.9999999,304.9999992,245,4.4000001,0.8,34.4,1.000000008,265.6,1.99999998,169,2.999999997,0,7,0,21,26,319,-4.832878416,4.241631585,0.986863012,31.72413865,248.0250784,1914.984326,14.42006255,1218.495298,21.63009402,0,50.47021944,0,151.4106583,187.460815,1766.45768,5.768025078,184.5768026,86.52037618,591.2225698,2199.059555,7.210031406,0.528735644,10,1.196865204,1.201671879,4.686520376,4.005572967,0,5,0,1.892633229,1.171630094,2.523510972,1.153605016,0,0,0,0.418625926,3.855550571,37.63492188
